Command_Code,Command_Name
JFK TF                                                      ,CEIS JFK TASK FORCE
JOINT ORG CRM TF                                            ,CEIS JOINT ORGANIZED CRIME TASK FORCE
JT T/F                                                      ,
JTTF                                                        ,JOINT TERRORIST TASK FORCE
JUV CRM                                                     ,JUVENILE CRIME SECTION
L S S D                                                     ,
L.I.M.S                                                     ,LEAVE INTEGRITY MGT. SECTION
LAB EVID&SECTY                                              ,LAB EVIDENCE CTRL & SECURITY
LAB FIREARMS                                                ,POL LAB FIREARMS ANALYSIS SEC
LATE PTRL TD 2                                              ,ATU LATE TOUR PATROL TD 2
LB BWC LU                                                   ,LB BODY WORN CAMERA LEGAL UNIT
LB PALS                                                     ,POLICE ACTION LITIGATION SECTION
LDS DEV                                                     ,
LDS TRN                                                     ,
LEADER TRN                                                  ,LEADERSHIP TRAINING SECTION
LEG BUR                                                     ,LEGAL BUREAU
LIC DIV                                                     ,LICENSE DIVISION
LMSI PMO                                                    ,LMSI PROJECT MANAGEMENT OFFICE
LSSD                                                        ,LIFE-SAFETY SYSTEMS DIVISION
M CHILD                                                     ,MANHATTAN CHILD ABUSE SQUAD
M COURT                                                     ,MAN COURT SECTION
M E L D                                                     ,
M I S D                                                     ,
M SVS                                                       ,MANHATTAN SPECIAL VICTIMS SQUAD
M TRANS RB SQD                                              ,MANHATTAN TRANSIT ROBBERY SQD
M WARRANT SQD                                               ,MANHATTAN WARRANT SQD
M/N-NE                                                      ,
M/N-NW                                                      ,
M/S-DND                                                     ,
M/S-ND                                                      ,
MAH IMP                                                     ,
MAILDIS                                                     ,
MAJOR INV SQD                                               ,CEIS MAJOR INVESTIGATION SQUAD
MAN CT                                                      ,
MB SSZC                                                     ,
MB SSZN                                                     ,
MC/SQD                                                      ,MAJOR CASE SQUAD
MCS CHILD EXP                                               ,NYPD/FBI CHILD EXPL & HTTF
MCS HUMAN TR                                                ,HUMAN TRAFFICKING UNIT
MED DIV                                                     ,MEDICAL DIVISION
MELD                                                        ,MILITARY & EXTENDED LEAVE DESK
MGMT ANL                                                    ,MANAGEMENT ANALYSIS SECTION
MN CRIME ANL                                                ,MN CRIME ANALYSIS UNIT
MN GRAND LARC                                               ,MANHATTAN NORTH GRAND LARCENY SQD
MN IRT                                                      ,
MN OP NIGHT                                                 ,MANHATTAN NORTH OPER NIGHT WATCH
MN SU AC                                                    ,MN ANTI-CRIME UNIT
MN SU ALU                                                   ,MN AUTO LARCENY UNIT
MN SU ECT                                                   ,MN EVIDENCE COLLECTION TEAM
MN VICE                                                     ,MANHATTAN NORTH VICE MODULE
MNROBSQ                                                     ,MANH ROBBERY SQUAD
MODS                                                        ,MGMT ORDERS & DIRECTIVES SECTION
MONEY LAUND                                                 ,CEIS MONEY LAUNDERING UNIT
MOUNTED                                                     ,MOUNTED UNIT
MP SQD                                                      ,MISSING PERSONS SQUAD
MS CRIME ANL                                                ,MS CRIME ANALYSIS UNIT
MS GRAND LARC                                               ,MANHATTAN SOUTH GRAND LARCENY SQD
MS OP NIGHT                                                 ,MANHATTAN SOUTH OPER NIGHT WATCH
MS SU BLARE                                                 ,MS BLARE TEAM
MS SU ECT                                                   ,MS EVIDENCE COLLECTION TEAM
MS TIMES SQ                                                 ,TIMES SQUARE UNIT
MS VICE                                                     ,MANHATTAN SOUTH VICE MODULE
MTN DET                                                     ,MTN DET SQUAD
MTN PCT                                                     ,018 PCT-MIDTOWN NO. PCT
MTS DET                                                     ,MTS DET SQUAD
MTS PCT                                                     ,014 PCT-MIDTOWN SO. PCT
MUNI SECUR                                                  ,MUNICIPAL SECURITY SECTION
NAR DIV                                                     ,
NARC SI                                                     ,NARC BORO STATEN ISLAND
NARCBBN                                                     ,NARC BORO BROOKLYN NORTH
NARCBBS                                                     ,NARC BORO BROOKLYN SOUTH
NARCBBX                                                     ,NARC BORO BRONX
NARCBMN                                                     ,NARC BORO MANHATTAN NORTH
NARCBMS                                                     ,NARC BORO MANHATTAN SOUTH
NARCBQN                                                     ,NARC BORO QUEENS NORTH
NARCBQS                                                     ,NARC BORO QUEENS SOUTH
NARCBSI                                                     ,
NARCO CANINE                                                ,NARCOTICS CANINE UNIT
NBBN MAJOR                                                  ,NARC BORO BROOKLYN NORTH MAJOR CASE UNIT
NBBN NITRO                                                  ,NARC BORO BROOKLYN NORTH NITRO
NBBN ZN 15                                                  ,NARC BORO BROOKLYN NORTH ZONE 15
NBBS MAJOR                                                  ,NARC BORO BROOKLYN SOUTH MAJOR CASE UNIT
NBBX MAJOR                                                  ,NARC BORO BRONX MAJOR CASE UNIT
NBBX ZN 8                                                   ,NARC BORO BRONX ZONE 8
NBMN MAJOR                                                  ,NARC BORO MANHATTAN NORTH MAJOR CASE UNIT
NBMS MAJOR                                                  ,NARC BORO MANHATTAN SOUTH MAJOR CASE UNIT
NBQN MAJOR                                                  ,NARC BORO QUEENS NORTH MAJOR CASE UNIT
NBQS MAJOR                                                  ,NARC BORO QUEENS SOUTH MAJOR CASE UNIT
NBQS ZN 17                                                  ,NARC BORO QUEENS SOUTH ZONE 17
NBQS ZN 24                                                  ,NARC BORO QUEENS SOUTH ZONE 24
NBSI MAJOR                                                  ,NARC BORO STATEN ISLAND MAJOR CASE UNIT
ND BKSI                                                     ,
ND BXCI                                                     ,
ND BXSI                                                     ,
ND CH I                                                     ,
ND EH I                                                     ,
ND NMI                                                      ,
ND Q/NI                                                     ,
ND SEQI                                                     ,
ND SI I                                                     ,
NYPDFBI FCTF                                                ,NYPD/FBI FINANCIAL CRIMES TF
O C C B                                                     ,
O C I D                                                     ,
O M A P                                                     ,
O T S D                                                     ,
O.E.M.                                                      ,
OCDE-SF                                                     ,
OCME LIAISON                                                ,OCME LIAISON UNIT
OEEO                                                        ,
OFF CSO                                                     ,
OFF DCSI                                                    ,OFFICE OF THE DEP COMM STRATEGIC INITIATIVES
OFF I/T                                                     ,
OFF OPS BUR                                                 ,OFFICE OF THE OPERATIONS BUREAU
OFF SUPV CH SRG                                             ,OFFICE SUPV CHIEF SURGEON
OFF/L R                                                     ,
OFF/TRP                                                     ,
OFFICE CCCS                                                 ,OFFICE OF THE CHIEF CRIME CONTROL STRATEGIES
OFFICE DCEI                                                 ,OFFICE OF THE DEP COMM EQUITY & INCLUSION
OFFICE DCT                                                  ,OFFICE OF THE DEP COMM TRIALS
OFFICE PB                                                   ,OFFICE OF THE CHIEF OF PERSONNEL
OFFICE PSB                                                  ,OFFICE OF PATROL SERVICES BUREAU
OFFICE RMB                                                  ,OFFICE OF THE RISK MANAGEMENT BUREAU
OFFICE TRANSIT                                              ,OFFICE OF THE CHIEF OF TRANSIT
OFFICE TRNG                                                 ,OFFICE OF THE CHIEF OF TRAINING
OFFICE TRP                                                  ,OFFICE OF THE CHIEF OF TRANSPORTATION
OFSCSRG                                                     ,
OMAP                                                        ,OFFICE OF MGMT ANALYSIS & PLANNING
OPD                                                         ,OFFICE OF PROFESSIONAL DEVELOPMENT
OPER RSRCH                                                  ,OPERATIONS RESEARCH SECTION
OPER&ANALYSIS                                               ,OPERATIONS & ANALYSIS SECTION
OPS BUR                                                     ,OPERATIONS BUREAU
OPS EM PREP                                                 ,EMERGENCY PREP & EXERCISE SECTION
OPS EPE                                                     ,
OPS TSU                                                     ,OPS TECHNICAL SUPPORT UNIT
OPS UN                                                      ,
OPS UNIT                                                    ,OPERATIONS UNIT
ORG THEFT SQD                                               ,ORGANIZED THEFT SQUAD
P A T U                                                     ,
P C C U                                                     ,
P C O                                                       ,
P S B                                                       ,PATROL SERVICES BUREAU
P.E.R.L                                                     ,
PA SITE&SECUR                                               ,PA SITE & SECURITY UNIT
PA UPTU                                                     ,
PAY SEC                                                     ,
PAY&BEN                                                     ,PAYROLL & BENEFITS DIVISION
PB                                                          ,PERSONNEL BUREAU
PB CAD                                                      ,CANDIDATE ASSESSMENT DIVISION
PB CAD                                                      ,
PB CAS                                                      ,
PB EMD                                                      ,
PB ERS                                                      ,
PB HCD                                                      ,
PB HRD                                                      ,HUMAN RESOURCES DIVISION
PB INV                                                      ,PB INVESTIGATIONS UNIT
PB PAID DTL                                                 ,PB PAID DETAIL UNIT
PB POD                                                      ,
PB POS                                                      ,
PB REC                                                      ,
PB SAS                                                      ,
PBBN                                                        ,PATROL BORO BKLYN NORTH
PBBN AC                                                     ,
PBBN INV UNIT                                               ,PBBN INVESTIGATIONS UNIT
PBBN SC                                                     ,
PBBN SCOOTER                                                ,PBBN SCOOTER TASK FORCE
PBBN SECURITY                                               ,PBBN SECURITY DETAIL
PBBN SU                                                     ,
PBBN SU PST                                                 ,PBBN PUBLIC SAFETY TEAMS
PBBN TF                                                     ,
PBBS                                                        ,PATROL BORO BKLYN SOUTH
PBBS AC                                                     ,
PBBS INV                                                    ,PBBS INVESTIGATIONS
PBBS SC                                                     ,
PBBS SU                                                     ,
PBBS SU PST                                                 ,PBBS PUBLIC SAFETY TEAMS
PBBS TF                                                     ,
PBBX                                                        ,PATROL BORO BRONX
PBBX AC                                                     ,
PBBX INV UNIT                                               ,PBBX INVESTIGATIONS UNIT
PBBX SC                                                     ,
PBBX SU                                                     ,
PBBX SU PST                                                 ,PBBX PUBLIC SAFETY TEAMS
PBBX TF                                                     ,
PBBX YANKEE                                                 ,YANKEE STADIUM DETAIL
PBBX ZOO                                                    ,BRONX ZOO DETAIL
PBMN                                                        ,PATROL BORO MAN NORTH
PBMN AC                                                     ,
PBMN INV UNIT                                               ,PBMN INVESTIGATIONS UNIT
PBMN SC                                                     ,
PBMN SCOOT                                                  ,PBMN SCOOTER TASK FORCE
PBMN SU                                                     ,PBMN SPECIALIZED UNITS
PBMN SU PST                                                 ,PBMN PUBLIC SAFETY TEAMS
PBMN TF                                                     ,
PBMS                                                        ,PATROL BORO MAN SOUTH
PBMS AC                                                     ,
PBMS INV                                                    ,PBMS INVESTIGATIONS UNIT
PBMS SC                                                     ,
PBMS SCOOTER                                                ,PBMS SCOOTER TASK FORCE
PBMS SU                                                     ,PBMS SPECIALIZED UNITS
PBMS SU PST                                                 ,PBMS PUBLIC SAFETY TEAMS
PBMS TF                                                     ,
PBQ/N                                                       ,
PBQ/S                                                       ,
PBQN                                                        ,PATROL BORO QUEENS NORTH
PBQN AC                                                     ,
PBQN CITI FLD                                               ,PBQN CITI FIELD DETAIL
PBQN INV UNIT                                               ,PBQN INVESTIGATIONS UNIT
PBQN SC                                                     ,
PBQN SU                                                     ,
PBQN SU PST                                                 ,PBQN PUBLIC SAFETY TEAMS
PBQNT/F                                                     ,
PBQS                                                        ,PATROL BORO QUEENS SOUTH
PBQS AC                                                     ,
PBQS INV UNIT                                               ,PBQS INVESTIGATIONS UNIT
PBQS SC                                                     ,
PBQS SU                                                     ,
PBQS SU PST                                                 ,PBQS PUBLIC SAFETY TEAMS
PBQST/F                                                     ,
PBSI                                                        ,PATROL BORO STATEN ISLAND
PBSI AC                                                     ,
PBSI DO                                                     ,
PBSI INV UNIT                                               ,PBSI INVESTIGATIONS UNIT
PBSI SU                                                     ,
PBSI SU FERRY                                               ,PBSI FERRY SECURITY UNIT
PBSI SU PST                                                 ,PBSI PUBLIC SAFETY TEAMS
PBSI TF                                                     ,
PCO                                                         ,POLICE COMMISSIONER
PCO C U                                                     ,
PCO L U                                                     ,
PCO QAD                                                     ,
PCO RTC                                                     ,
PEN SEC                                                     ,
PER BUR                                                     ,
PHOTO-U                                                     ,PHOTO UNIT
PI&REQ                                                      ,
PLT MGT                                                     ,
POD                                                         ,PERSONNEL ORDERS DIVISION
POL ACAD                                                    ,POLICE ACADEMY
POL ACD                                                     ,
POL LAB                                                     ,POLICE LABORATORY
POL PEN                                                     ,
POL PENSION                                                 ,POLICE PENSION FUND
PRINTS                                                      ,
PROP CLK                                                    ,PROPERTY CLERK DIV
PROPCLK                                                     ,
PSA 1                                                       ,HOUSING PSA 1
PSA 2                                                       ,HOUSING PSA 2
PSA 3                                                       ,HOUSING PSA 3
PSA 4                                                       ,HOUSING PSA 4
PSA 5                                                       ,HOUSING PSA 5
PSA 6                                                       ,HOUSING PSA 6
PSA 7                                                       ,HOUSING PSA 7
PSA 8                                                       ,HOUSING PSA 8
PSA 9                                                       ,HOUSING PSA 9
PSA 9 JRIP                                                  ,PSA 9 JUVENILE ROB INTERV PRGM
PSA1 VIPER13                                                ,PSA 1 VIPER 13
PSA2 VIPER2                                                 ,PSA 2 VIPER 2
PSA4 VIPER6                                                 ,PSA 4 VIPER 6
PSA5 VIPER12                                                ,PSA 5 VIPER 12
PSA6 VIPER1                                                 ,PSA 6 VIPER 1
PSA7 VIPER11                                                ,PSA 7 VIPER 11
PSA8 VIPER4                                                 ,PSA 8 VIPER 4
PSA9 VIPER3                                                 ,PSA 9 VIPER 3
PSAC II SEC                                                 ,PSAC II SECURITY
PSB IES                                                     ,INVESTIGATION & EVALUATION SECT
PSB NPASU                                                   ,PSB NBHD POLICING ANALYSIS & SUPP UNIT
PSB RMS                                                     ,RESOURCE MANAGEMENT SECTION
PUBLIC SECUR                                                ,PUBLIC SECURITY SECTION
Q CHILD                                                     ,QUEENS CHILD ABUSE SQUAD
Q COURT                                                     ,QNS COURT SECTION
Q NIGHT WATCH                                               ,QUEENS NIGHT WATCH
Q SVS                                                       ,QUEENS SPECIAL VICTIMS SQUAD
Q WARRANT SQD                                               ,QUEENS WARRANT SQD
Q/N-ND                                                      ,
Q/S-ND                                                      ,
QA DCSI                                                     ,
QAD 1DC                                                     ,
QAD DIU                                                     ,QAD DATA INTEGRITY UNIT
QB SSZC                                                     ,
QB SSZN                                                     ,
QDA CIU                                                     ,
QM SEC                                                      ,QUARTERMASTER SECTION
QN CRIME ANL                                                ,QN CRIME ANALYSIS UNIT
QN GRAND LARC                                               ,QUEENS NORTH GRAND LARCENY SQD
QN SU ALU                                                   ,QN AUTO LARCENY UNIT
QN SU ECT                                                   ,QN EVIDENCE COLLECTION TEAM
QN TRANSIT ROB                                              ,QUEENS TRANSIT ROBBERY SQUAD
QN VICE                                                     ,QUEENS NORTH VICE MODULE
QNROBSQ                                                     ,QUEENS ROBBERY SQUAD
QNS CT                                                      ,
QS CRIME ANL                                                ,QS CRIME ANALYSIS UNIT
QS GANG                                                     ,
QS GRAND LARC                                               ,QUEENS SOUTH GRAND LARCENY SQD
QS HOMICIDE                                                 ,QUEENS SOUTH OPER HOMICIDE SQD
QS IRT                                                      ,
QS NARC                                                     ,
QS SU ECT                                                   ,QS EVIDENCE COLLECTION TEAM
QS VICE                                                     ,QUEENS SOUTH VICE MODULE
R M D                                                       ,RISK MITIGATION DIVISION
REC SEC                                                     ,
REC TNG                                                     ,
RM BUR                                                      ,
RMB                                                         ,RISK MANAGEMENT BUREAU
RMB BODY CAM                                                ,RMB CD BODY WORN CAMERA UNIT
RMB CD                                                      ,COMPLIANCE DIVISION
RMB QAD                                                     ,QUALITY ASSURANCE DIVISION
RMB QAD AUD MGT                                             ,RMB QAD AUDIT MANAGEMENT UNIT
RMB TRAINING                                                ,RMB TRAINING UNIT
RMD PAS                                                     ,PERFORMANCE ANALYSIS SEC
RTC FACIAL ID                                               ,RTCC FACIAL IDENTIFICATION SEC
RTC JUV CRM                                                 ,RTCC JUVENILE CRIME DESK
RTCC                                                        ,REAL TIME CRIME CENTER
RTCC INV SUPP                                               ,RTCC INVESTIGATIVE SUPPORT SEC
RTCC SMART                                                  ,RTCC SOCIAL MEDIA ANALYSIS & RESEARCH TEAM
RTS ADM                                                     ,RTS ADMIN STAFF
RTS RECRUIT                                                 ,RTS RECRUITS
S O D                                                       ,
S P I S                                                     ,
S S B                                                       ,
S T D                                                       ,
S.I. CT                                                     ,
SAT B/N                                                     ,
SAT QS                                                      ,
SATDOPS                                                     ,
SATHOPS                                                     ,
SATNOPS                                                     ,
SCUBA UNIT                                                  ,SCUBA UNIT
SHIELD & ID                                                 ,"SHIELD, ID, & UNIFORMED SERVICES UNIT"
SI COURT                                                    ,STATEN ISLAND COURT SECTION
SI CRIME ANL                                                ,SI CRIME ANALYSIS UNIT
SI DO                                                       ,
SI EMER                                                     ,
SI GRAND LARC                                               ,STATEN ISLAND GRAND LARCENY SQD
SI HOMICIDE                                                 ,STATEN ISLAND OPER HOMICIDE SQD
SI HWYP                                                     ,
SI IRT                                                      ,
SI OP NIGHT                                                 ,STATEN ISLAND OPER NIGHT WATCH
SI SCSU                                                     ,
SI SU ECT                                                   ,SI EVIDENCE COLLECTION TEAM
SI SVS                                                      ,STATEN ISLAND SPECIAL VICTIMS SQUAD
SIHU                                                        ,
SOD HOU                                                     ,
SOD SRG                                                     ,
SOD T/U                                                     ,
SP FRDS                                                     ,SPECIAL FRAUDS SQUAD
SP INV                                                      ,
SPL TRN                                                     ,SPECIALIZED TRAINING SECTION
SPORTS UNIT                                                 ,H&WELL SPORTS UNIT
SPRING 3100                                                 ,SPRING 3100
SRG                                                         ,STRATEGIC RESPONSE GROUP
SRG 04                                                      ,STRATEGIC RESP GRP 4 QUEENS
SRG 05                                                      ,STRATEGIC RESP GRP 5 SI
SRG 1                                                       ,STRATEGIC RESP GRP 1 MANHATTAN
SRG 2                                                       ,STRATEGIC RESP GRP 2 BRONX
SRG 3                                                       ,STRATEGIC RESP GRP 3 BROOKLYN
SRG 4                                                       ,
SRG 5                                                       ,
SS DIV                                                      ,SCHOOL SAFETY DIVISION
SS INV                                                      ,
SS MBZ                                                      ,
SS QBSZ                                                     ,
SSB                                                         ,SUPPORT SERVICES BUREAU
SSB INV                                                     ,SSB INVESTIGATIONS UNIT
SSD INV                                                     ,SSD INVESTIGATIONS UNIT
STAFFSV                                                     ,
STD                                                         ,STRATEGIC TECHNOLOGY DIVISION
STR FOR                                                     ,
STR FORCE                                                   ,STRIKE FORCE
SVD DATA ANL                                                ,SVD DATA ANALYSIS GROUP
SVD DNA COLD                                                ,DNA COLD CASE SQUAD
SVD IRTU                                                    ,SVD INSTANT RESPONSE TRK UNIT
SVD LIAISON                                                 ,SVD LIAISON UNIT
SVD NIGHT                                                   ,SVD NIGHT WATCH
SVD SOMU                                                    ,SEX OFFENDER MONITORING UNIT
SVD STRANGER                                                ,STRANGER RAPE COLD CASE SQUAD
SVD Z1                                                      ,SPECIAL VICTIMS DIV ZONE 1
SVD Z2                                                      ,
SVD Z3                                                      ,SPECIAL VICTIMS DIV ZONE 3
T.A.R.U                                                     ,
TARU                                                        ,TECH. ASSIST. & RESPONSE UNIT
TAXI SQ                                                     ,
TAXI UT                                                     ,
TB                                                          ,TRANSIT BUREAU
TB ATER                                                     ,
TB ATU                                                      ,TB ANTI TERRORISM UNIT
TB BK                                                       ,TRANSIT BORO BROOKLYN
TB BK TF                                                    ,TRANSIT BORO BKLYN TASK FORCE
TB BKTF                                                     ,
TB BQTF                                                     ,
TB BX                                                       ,
TB BX QNS                                                   ,TRANSIT BORO BRONX/QUEENS
TB BX QNS TF                                                ,TRANSIT BORO BX/QNS TASK FORCE
TB BX/Q                                                     ,
TB BXTF                                                     ,
TB C/AN                                                     ,
TB CAN                                                      ,
TB CRM ANLYS                                                ,TRANSIT BUREAU CRIME ANALYSIS
TB CW VTF                                                   ,TB CITYWIDE VANDALS TASK FORCE
TB DT01                                                     ,
TB DT02                                                     ,
TB DT03                                                     ,
TB DT04                                                     ,
TB DT11                                                     ,
TB DT12                                                     ,
TB DT20                                                     ,
TB DT23                                                     ,
TB DT30                                                     ,
TB DT32                                                     ,
TB DT33                                                     ,
TB DT34                                                     ,
TB H/O                                                      ,
TB INV                                                      ,TB INVESTIGATIONS UNIT
TB K9                                                       ,TB CANINE UNIT
TB LIAISON                                                  ,TRANSIT AUTHORITY LIAISON
TB LIAS                                                     ,
TB M                                                        ,TRANSIT BORO MANHATTAN
TB M TIMES SQ                                               ,TB MANHATTAN TF TIMES SQ INITIATIVE
TB M/TF                                                     ,
TB MAN TF                                                   ,TRANSIT BORO MAN TASK FORCE
TB MANH                                                     ,
TB Q/TF                                                     ,
TB QNS                                                      ,
TB RESP                                                     ,
TB SIU                                                      ,
TB SOD                                                      ,TB SPECIAL OPERATIONS DISTRICT
TB SOU                                                      ,
TB VAND                                                     ,
TB VTF                                                      ,
TC PED                                                      ,
TD 01 LTP                                                   ,ATU LATE TOUR PATROL TD 1
TD 1                                                        ,TRANSIT DISTRICT 1
TD 11                                                       ,TRANSIT DISTRICT 11
TD 12                                                       ,TRANSIT DISTRICT 12
TD 2                                                        ,TRANSIT DISTRICT 2
TD 20                                                       ,TRANSIT DISTRICT 20
TD 23                                                       ,TRANSIT DISTRICT 23
TD 3                                                        ,TRANSIT DISTRICT 3
TD 30                                                       ,TRANSIT DISTRICT 30
TD 32                                                       ,TRANSIT DISTRICT 32
TD 33                                                       ,TRANSIT DISTRICT 33
TD 34                                                       ,TRANSIT DISTRICT 34
TD 4                                                        ,TRANSIT DISTRICT 4
TD C/AN                                                     ,
TD DT01                                                     ,
TD DT02                                                     ,
TD DT03                                                     ,
TD DT04                                                     ,
TD DT11                                                     ,
TD DT12                                                     ,
TD DT20                                                     ,
TD DT23                                                     ,
TD DT30                                                     ,
TD DT32                                                     ,
TD DT33                                                     ,
TD DT34                                                     ,
TD H/O                                                      ,
TD INV                                                      ,
TD SOU                                                      ,
TD VAND                                                     ,
TEL ANALYSIS                                                ,TELEPHONE ANALYSIS UNIT
TNG UNT                                                     ,
TR/BKTF                                                     ,
TR/BXTF                                                     ,
TR/QTF                                                      ,
TR/STED                                                     ,
TRAFF ENF DIST                                              ,TRAFFIC ENFORCEMENT DISTRICT
TRAFF MGMT                                                  ,TRAFFIC MANAGEMENT CENTER
TRAFF SAFETY                                                ,TRAFFIC SAFETY FORUM UNIT
TRANSIT SVS                                                 ,SVD TRANSIT SPECIAL VICTIMS SQUAD
TRB OPS                                                     ,TRP BUR OPERATIONS UNIT
TRB TED                                                     ,
TRB TRF OPS                                                 ,TRAFFIC OPERATIONS DISTRICT
TRDMRK INFRGMT                                              ,CEIS TRADEMARK INFRINGEMENT UNIT
TRF CD                                                      ,
TRF OPS                                                     ,
TRF/MTF                                                     ,
TRIG LOCK                                                   ,TRIGGER LOCK UNIT
TRN BUR                                                     ,TRAINING BUREAU
TRN BUR INV                                                 ,TRAINING BUREAU INV UNIT
TRP BUR                                                     ,TRANSPORTATION BUREAU
TRP BUR INV                                                 ,TRB INVESTIGATIONS UNIT
TV UNIT                                                     ,MOVIE & TV UNIT
UPTU                                                        ,UNIFORMED PROMOTIONS TRN UNIT
VE BK/N                                                     ,
VE BSSI                                                     ,
VED BX                                                      ,
VED M/N                                                     ,
VED M/S                                                     ,
VED MCS                                                     ,
VED Q                                                       ,
VED ZN1                                                     ,
VED ZN2                                                     ,VICE ENFORCEMENT DIV ZONE 2
VEHICLE ID                                                  ,VEHICLE IDENTIFICATION UNIT
VICE                                                        ,VICE ENFORCEMENT DIVISION
VICE ED                                                     ,
VICE MAJOR                                                  ,VICE MAJOR CASE
WAREHOUSE                                                   ,WAREHOUSE SYSTEM
WARRSEC                                                     ,WARRANT SECTION
WTC CMD                                                     ,WORLD TRADE CENTER COMMAND
YOUTH STRAT                                                 ,YOUTH STRATEGIES DIVISION
YTH DIV                                                     ,
YTH SD                                                      ,
YTH SS                                                      ,
