Command_Code,Command_Name
A&E                                                         ,ARSON & EXPLOSION
A&E SQD                                                     ,
AC ZONE I                                                   ,AC ZONE I QUEENS/BKLYN/S.I.
AC ZONE II                                                  ,AC ZONE II BRONX/ MANHATTAN
ADM DIV                                                     ,
ADM DIV                                                     ,
ADM SUP                                                     ,
ANALYSIS&MAP                                                ,OMAP ANALYSIS & MAPPING SECT
ANIMAL INV SQD                                              ,SID ANIMAL CRUELTY INV SQD
ASSET FORFEIT                                               ,ASSET FORFEITURE UNIT
AUD&ACC                                                     ,
AUD&ACCT                                                    ,AUDITS & ACCOUNTS UNIT
AUTO CD                                                     ,
AUTO CR                                                     ,AUTO CRIME
AUTO PND                                                    ,AUTO POUND
AUX P.S                                                     ,
AUX POL SEC                                                 ,AUXILIARY POLICE SECT
AV UNIT                                                     ,
AV.UNIT                                                     ,
AVIATION                                                    ,AVIATION UNIT
B/S-END                                                     ,
B/S-WND                                                     ,
BALLISTIC VEST                                              ,BALLISTIC VEST UNIT
BARRIER                                                     ,BARRIER SECTION
BDBKZ14                                                     ,
BH DIV                                                      ,BEHAVIORAL HEALTH DIVISION
BK CHILD                                                    ,BROOKLYN CHILD ABUSE SQUAD
BK COURT                                                    ,BROOKLYN COURT SECTION
BK IMP                                                      ,
BK SVS                                                      ,BROOKLYN SPECIAL VICTIMS SQUAD
BK TRAN ROB SQD                                             ,BKLYN TRANSIT ROBBERY SQUAD
BKLN CT                                                     ,
BKROBSQ                                                     ,BKLYN ROBBERY SQ
BLDG MAINT                                                  ,BUILDING MAINTENANCE SECT
BM SEC                                                      ,
BN CRIME ANL                                                ,BN CRIME ANALYSIS UNIT
BN GRAND LARC                                               ,BROOKLYN NORTH GRAND LARCENY SQD
BN IRT                                                      ,
BN OP NIGHT                                                 ,BROOKLYN NORTH OPER NIGHT WATCH
BN SU ECT                                                   ,BN EVIDENCE COLLECTION TEAM
BN VICE                                                     ,BKLYN NORTH VICE MODULE
BN WARR SQD                                                 ,BKLYN NORTH WARRANT SQUAD
BNNARCD                                                     ,
BOMB SQ                                                     ,BOMB SQUAD
BS CRIME ANL                                                ,BS CRIME ANALYSIS UNIT
BS GRAND LARC                                               ,BROOKLYN SOUTH GRAND LARCENY SQD
BS IRT                                                      ,
BS OP NIGHT                                                 ,BROOKLYN SOUTH OPER NIGHT WATCH
BS SU ECT                                                   ,BS EVIDENCE COLLECTION TEAM
BS VICE                                                     ,BKLYN SOUTH VICE MODULE
BS WARRANT SQD                                              ,BROOKLYN SOUTH WARRANT SQD
BUS UT                                                      ,
BUSINESS INTGRTY                                            ,CEIS BUSINESS INTEGRITY COM
BX APP TEAM                                                 ,BRONX OP APPRHENSION TEAM
BX CB                                                       ,
BX CHILD                                                    ,BRONX CHILD ABUSE SQUAD
BX COURT                                                    ,BRONX COURT SECT
BX CRIME ANL                                                ,BX CRIME ANALYSIS UNIT
BX CT                                                       ,
BX GRAND LARC                                               ,BRONX GRAND LARCENY SQD
BX IRT                                                      ,
BX OP NIGHT                                                 ,BRONX OPER NIGHT WATCH
BX SU ALU                                                   ,BX AUTO LARCENY UNIT
BX SU ECT                                                   ,BX EVIDENCE COLLECTION TEAM
BX SVS                                                      ,BRONX SPECIAL VICTIMS SQUAD
BX TRAN ROB                                                 ,BRONX TRANSIT ROBBERY SQUAD
BX VICE                                                     ,BRONX VICE MODULE
BX WARRANT SQD                                              ,BRONX WARRANT SQD
BX/N-ND                                                     ,
BX/Q IM                                                     ,
BX/S-ND                                                     ,
BXD CID                                                     ,
BXROBSQ                                                     ,BRONX ROBBERY SQUAD
C A B                                                       ,
C A D                                                       ,
C C A S                                                     ,
C C SQD                                                     ,COLD CASE SQUAD
C D D                                                       ,
C E D                                                       ,
C O B                                                       ,
C O D                                                       ,
C O S U                                                     ,
C R C                                                       ,
C S O                                                       ,
C SCENE                                                     ,CRIME SCENE UNIT
C TERR                                                      ,
C/PRV D                                                     ,
C/SCENE                                                     ,
CA JVJD                                                     ,
CA SECT                                                     ,
CA/CP D                                                     ,
CAB                                                         ,COMMUNITY AFFAIRS BUREAU
CAB COD                                                     ,COMMUNITY OUTREACH DIVISION
CAB INV                                                     ,CAB INVESTIGATIONS UNIT
CAD CAS                                                     ,CHARACTER ASSESSMENT SECTION
CAD MAS                                                     ,CAD MEDICAL ASSESSMENT SECTION
CAD PAS                                                     ,CAD PSYCH ASSESSMENT SECTION
CAD RECRUIT                                                 ,CAD RECRUITMENT SECTION
CADET CORPS                                                 ,POLICE CADET CORPS UNIT
CAPITAL CONST                                               ,CAPITAL CONSTRUCTION UNIT
CCCS                                                        ,CHIEF CRIME CONTROL STRATEGIES
CCCS DLU                                                    ,CCCS DISCOVERY LIAISON UNIT
CD C&C                                                      ,
CD EPES                                                     ,
CD IRS                                                      ,
CD OFF                                                      ,CHIEF OF DEPARTMENT
CD OP/D                                                     ,
CD OP/U                                                     ,
CEIS BES TF                                                 ,CEIS BORDER ENFORCEMENT SEC TASK FORCE
CEN REC                                                     ,
CENROBB                                                     ,
CENTRAL REC                                                 ,CENTRAL RECORDS DIV
CEREMONIAL                                                  ,CEREMONIAL UNIT
CH S IN                                                     ,
CHANGE MGMT                                                 ,DCSI CHANGE MANAGEMENT OFFICE
CHAPLAINS                                                   ,CHAPLAINS UNIT
CI&RDIV                                                     ,
CID ADMIN                                                   ,CID ADMINISTRATION
CID CRIME STOP                                              ,CID CRIME STOPPERS UNIT
CID TACTICAL TRN                                            ,CID TACTICAL TRAINING
CIV HIRING                                                  ,CIVILIAN HIRING UNIT
CJB                                                         ,CRIMINAL JUSTICE BUREAU
CJB INV                                                     ,CJB INVESTIGATIONS UNIT
CMD LVL TRN                                                 ,TRN BUR CMD LVL TRAINING SECT
CMU 01                                                      ,COURT MONITORING UNIT 1 (MAN/BK/SI)
CMU 02                                                      ,COURT MONITORING UNIT 2 (BX/QNS/TLC)
CO RESPONSE                                                 ,CO RESPONSE UNIT
CO TR                                                       ,
COD                                                         ,CHIEF OF DEPARTMENT OFFICE
COD BUSINESS                                                ,BUSINESS DIST RECOVERY INIT DTL
COD DVIU                                                    ,DOMESTIC VIOLENCE INSP. UNIT
COD DVU                                                     ,COD DOMESTIC VIOLENCE UNIT
COD LIAISON                                                 ,COD LIAISON UNIT
COD SAS                                                     ,
COL POL                                                     ,
COMM DIV                                                    ,COMMUNICATIONS DIV
COMMDIV                                                     ,
COMMSEC                                                     ,
COMP CRIMES                                                 ,SID COMPUTER CRIMES
COMPSTAT ANL                                                ,COMPSTAT ANALYTICAL UNIT
CON ADM                                                     ,
CONTRACT ADM                                                ,CONTRACT ADMIN PROCUREMENT DIVISION
CP YSU                                                      ,DCCPART YOUTH STRATEGIES UNIT
CPK DET                                                     ,CENTRAL PK DET SQ
CPK PCT                                                     ,CENTRAL PARK PRECINCT
CR PREV                                                     ,
CRC                                                         ,CRITICAL RESPONSE COMMAND
CRC CANINE                                                  ,CRC CANINE UNIT
CRD SPARTA                                                  ,CRD SPARTA GROUP
CREATIVE SERV                                               ,CREATIVE SERVICES SECTION
CRIM ENTERPR                                                ,CRIMINAL ENTERPRISE DIVISION
CRJ BUR                                                     ,
CRM CTL                                                     ,
CRM REC                                                     ,
CRS/AU                                                      ,
CSO                                                         ,CHIEF OF SPECIAL OPERATIONS
CSO INV                                                     ,CSO INVESTIGATIONS UNIT
CT BUR                                                      ,COUNTERTERRORISM BUREAU
CT DIV                                                      ,COUNTERTERRORISM DIVISION
CT EPES                                                     ,
CT LMSI                                                     ,LOWER MANHATTAN SECURITY INITIATIVE
CT UNIT                                                     ,CITYWIDE COUNTERTERRORISM UNIT
CTB INV UNIT                                                ,CTB INVESTIGATIONS UNIT
CTERRDV                                                     ,
CW T TF                                                     ,
CW TRAFF TF                                                 ,TRB CITYWIDE TRAFFIC T/F
D C C A                                                     ,
D C L M                                                     ,
D C M B                                                     ,
D C P I                                                     ,DEP COMM PUBLIC INFORMATION
D C TRL                                                     ,
D-E T/F                                                     ,
D.A.R.E                                                     ,
DA BKLN                                                     ,DA SQUAD BROOKLYN
DA BKN                                                      ,
DA BX                                                       ,DA SQUAD BRONX
DA NY                                                       ,
DA QNS                                                      ,DA SQUAD QUEENS
DA S/I                                                      ,
DA SI                                                       ,
DA SQD NY                                                   ,DA SQ NY COUNTY
DA SQD SI                                                   ,DA SQUAD SI
DB BCIU                                                     ,
DB BIAS                                                     ,
DB BKLN                                                     ,
DB BNHM                                                     ,DET BORO BKLYN NO HOMICIDE SQ
DB BSHM                                                     ,DET BORO BKLYN SO HOMICIDE SQ
DB BSVS                                                     ,
DB BX                                                       ,
DB BXHM                                                     ,DET BORO BX HOMICIDE SQ
DB BXSV                                                     ,
DB CED                                                      ,
DB CEIS                                                     ,CRIMINAL ENTERPRISE INVEST SEC
DB CID                                                      ,
DB CRD                                                      ,CENTRAL ROBBERY DIVISION
DB FCTF                                                     ,FINANCIAL CRIMES TASK FORCE
DB FED                                                      ,FUGITIVE ENFORCEMENT DIVISION
DB FID                                                      ,FORENSIC INVESTIGATIONS DIV
DB GLD                                                      ,GRAND LARCENY DIVISION
DB GVSD                                                     ,GUN VIOLENCE SUPPRESSION DIVISION
DB HATE                                                     ,HATE CRIME TASK FORCE
DB INV SUPP                                                 ,DB INVESTIGATIVE SUPPORT
DB INV UNIT                                                 ,DB INVESTIGATIONS UNIT
DB LPS                                                      ,LATENT PRINT SECTION
DB MAN                                                      ,
DB MCID                                                     ,
DB MNHM                                                     ,DET BORO MAN NO HOMICIDE SQ
DB MSHM                                                     ,DET BORO MAN SO HOMICIDE SQ
DB MSVS                                                     ,
DB O&IT                                                     ,
DB QNHM                                                     ,DET BORO QNS NORTH HOMICIDE SQ
DB QNS                                                      ,
DB QSVS                                                     ,
DB RTCC                                                     ,
DB SI                                                       ,
DB SID                                                      ,SPECIAL INVESTIGATIONS DIV
DB SPEC ENF DIV                                             ,DB SPECIALTY ENFORCEMENT DIVISION
DB SVD                                                      ,SPECIAL VICTIMS DIVISION
DB TSIU                                                     ,DB TRANSIT SPECIAL INV UNIT
DBBKZ10                                                     ,
DBBKZ11                                                     ,
DBBKZ12                                                     ,
DBBKZ13                                                     ,
DBBKZ14                                                     ,
DBBKZ21                                                     ,
DBBKZ22                                                     ,
DBBN                                                        ,DET BORO BROOKLYN NORTH
DBBN OP                                                     ,DET BORO BKLYN NORTH OPER
DBBS                                                        ,DET BORO BKLYN SOUTH
DBBS OP                                                     ,DET BORO BKLYN SOUTH OPER
DBBX                                                        ,DET BORO BRONX
DBBX OP                                                     ,DET BORO BRONX OPER
DBBX Z8                                                     ,
DBBX Z9                                                     ,DET BORO BRONX ZONE #9
DBCR Z1                                                     ,
DBM ZN1                                                     ,DET BORO MANHATTAN ZONE #1
DBM ZN2                                                     ,DET BORO MANHATTAN ZONE #2
DBM ZN4                                                     ,
DBM ZN5                                                     ,DET BORO MANHATTAN ZONE #5
DBM ZN6                                                     ,DET BORO MANHATTAN ZONE #6
DBMN                                                        ,DET BORO MANHATTAN NORTH
DBMN OP                                                     ,DET BORO MAN NORTH OPER
DBMNHTF                                                     ,
DBMS                                                        ,DET BORO MANHATTAN SOUTH
DBMS OP                                                     ,DET BORO MAN SOUTH OPER
DBQ Z16                                                     ,DET BORO QUEENS ZONE #16
DBQ Z17                                                     ,
DBQ Z24                                                     ,
DBQN                                                        ,DET BORO QUEENS NORTH
DBQN OP                                                     ,DET BORO QNS NORTH OPER
DBQS                                                        ,DET BORO QUEENS SOUTH
DBQS OP                                                     ,DET BORO QNS SOUTH OPER
DBSI                                                        ,DET BORO STATEN ISLAND
DBSI OP                                                     ,
DBSV Z1                                                     ,
DBSV Z2                                                     ,
DBSV Z3                                                     ,
DC ADV                                                      ,
DC C TR                                                     ,
DC DAO                                                      ,
DC EEO                                                      ,
DC INT                                                      ,
DC IT                                                       ,
DC LABR                                                     ,
DC MAP                                                      ,
DC OPER                                                     ,
DC TRIALS                                                   ,DEP COMM TRIALS
DC TRL                                                      ,
DC TRNG                                                     ,
DCCPART                                                     ,DEP COMM COMMUNITY PARTNERSHIPS
DCDAO                                                       ,DEP COMM DEPARTMENT ADVOCATE
DCEI                                                        ,DEP COMM EQUITY & INCLUSION
DCER                                                        ,DEP COMM EMPLOYEE RELATIONS
DCER CU                                                     ,
DCINTCT                                                     ,DEP COMM INTEL & COUNTERTERRORISM
DCLR                                                        ,DEP COMM LABOR RELATIONS
DCMB                                                        ,DEP COMM MANAGEMENT & BUDGET
DCMB INV                                                    ,DCMB INVESTIGATIONS UNIT
DCSC                                                        ,DEP COMM STRATEGIC COMMUNICATIONS
DCSI                                                        ,DEP COMM STRATEGIC INITIATIVES
DCSI ORI                                                    ,DCSI OFF OF RESEARCH & INNOV
DCSI PMO                                                    ,DCSI PROJECT MANAGEMENT OFFICE
